kind,name,keep,drop,delta,sd,z,n_obs,vs
theta_norm,DeepSeek-Coder-V2-Instruct,1.6319340973220795,1.6326042041307645,0.0006701068086849,0.5731109517110902,0.0011692444659873,1,keepA_vs_dropA
theta1,DeepSeek-Coder-V2-Lite-Base,0.0227925531612436,0.1202517340002352,0.0974591808389916,0.7004762533710452,0.1391327405746716,4,keepA_vs_dropA
theta2,DeepSeek-Coder-V2-Lite-Base,0.1395691488272705,-0.0343390905964996,-0.1739082394237702,0.6837689202993975,-0.2543377364206933,4,keepA_vs_dropA
theta3,DeepSeek-Coder-V2-Lite-Base,-0.3076513934090014,-0.2289960395558837,0.0786553538531177,0.6012775892101627,0.1308137127752246,4,keepA_vs_dropA
theta_norm,DeepSeek-Coder-V2-Lite-Base,1.1061060589538954,1.1072658626411875,0.0011598036872921,0.4316840723328896,0.0026866955758279,4,keepA_vs_dropA
theta1,DeepSeek-Coder-V2-Lite-Instruct,0.2362727484622994,0.2620567504633075,0.0257840020010081,0.9108304920961812,0.0283082332275338,1,keepA_vs_dropA
theta2,DeepSeek-Coder-V2-Lite-Instruct,0.2979109097389503,0.371302521231112,0.0733916114921616,0.8403506967209122,0.0873345042474995,1,keepA_vs_dropA
theta3,DeepSeek-Coder-V2-Lite-Instruct,0.414357610275358,0.304510850794646,-0.109846759480712,0.8001344067647082,-0.1372853842454673,1,keepA_vs_dropA
theta_norm,DeepSeek-Coder-V2-Lite-Instruct,1.461757399160392,1.4506069876213998,-0.0111504115389922,0.6027320635458164,-0.0184997816001282,1,keepA_vs_dropA
theta1,DeepSeek-R1,0.4084744106348684,0.4393116723459174,0.030837261711049,0.2488079969708374,0.1239399942384625,34,keepA_vs_dropA
theta2,DeepSeek-R1,0.4486646520829202,0.5972269743389129,0.1485623222559927,0.2461345652963039,0.6035817118052844,34,keepA_vs_dropA
theta3,DeepSeek-R1,0.5974142151240978,0.4904193329488178,-0.1069948821752799,0.2909460008649238,-0.3677482483251384,34,keepA_vs_dropA
theta_norm,DeepSeek-R1,0.9351270449350242,1.0083590594004446,0.0732320144654203,0.1383199917710407,0.5294391181474359,34,keepA_vs_dropA
theta1,DeepSeek-R1-0528,0.5324660605949869,0.5814582442438517,0.0489921836488648,0.3346462034845875,0.1463999386179237,15,keepA_vs_dropA
theta2,DeepSeek-R1-0528,0.6038679811223145,0.7598844400809329,0.1560164589586183,0.3086896819200055,0.5054152052903692,15,keepA_vs_dropA
theta3,DeepSeek-R1-0528,0.7052156345329317,0.5863303000915902,-0.1188853344413415,0.3527312286686154,-0.3370422712218433,15,keepA_vs_dropA
theta_norm,DeepSeek-R1-0528,1.1801252523619767,1.2628366293222826,0.0827113769603058,0.2009334299941433,0.4116357191668734,15,keepA_vs_dropA
theta1,DeepSeek-R1-Distill-Llama-70B,0.0846361621934969,0.1538718023193483,0.0692356401258514,0.8786052407587086,0.0788017609205971,4,keepA_vs_dropA
theta2,DeepSeek-R1-Distill-Llama-70B,0.1952996958324527,-0.1200788850007673,-0.3153785808332201,0.9669751376282016,-0.3261496273904015,4,keepA_vs_dropA
theta3,DeepSeek-R1-Distill-Llama-70B,-0.557877078579074,-0.3360202755839406,0.2218568029951333,0.94265783475888,0.2353524203741238,4,keepA_vs_dropA
