benchmark,axis,category,gate_median,hdi_low,hdi_high,survived
PRBench Finance,Reasoning,Domain Specific Questions,0.13094002178724595,6.0833298774105545e-05,1.5118995020662092,False
LAMBADA,Reasoning,General Reasoning,0.13079990884944498,0.0002336711213334003,1.4186773239666268,False
PRBench Legal,Reasoning,Domain Specific Questions,0.12184471358129118,2.6905575245473804e-05,1.1402857565537474,False
Adversarial NLI,Reasoning,General Reasoning,0.11885818260660966,0.00012178238780400283,0.4894238608653361,False
GSM8K,Reasoning,Domain Specific Questions,0.11882141178859676,7.334207301456127e-06,1.3263580025895303,False
GPQA Main Chemistry,Reasoning,Chemistry,0.10141395026534783,2.364226646695684e-06,0.5466564245644171,False
Lech Mazur Writing,Reasoning,Advanced Language and Writing,0.10047999197753443,0.0001892739043600276,1.1123507255721006,False
Video-MME,Reasoning,Multimodal Understanding,0.09765743531716192,2.8674662448208898e-05,1.2606467630835647,False
GPQA Diamond Biology,Reasoning,Biology,0.09601714386039072,2.4387215745735457e-06,1.1215643325289781,False
GeoBench,Reasoning,Multimodal Understanding,0.0874426091236392,9.092192248999901e-07,1.2947611700916257,False
LAB-Bench LitQA2,Reasoning,Biology,0.08581910870712056,0.00019408876880036674,0.2386429067407681,False
ScienceQA,Reasoning,Domain Specific Questions,0.08077797038820851,1.3796370879926486e-05,1.1111839188962023,False
SEAL Instruction Following,Reasoning,Advanced Language and Writing,0.05667967123081581,4.7515009170466215e-06,1.084294881523523,False
BoolQ,Reasoning,General Reasoning,0.04486962872221982,0.00022049118845421308,0.9436991398883101,False
GPQA Diamond,Reasoning,Domain Specific Questions,0.042388816673563895,0.00805938445474107,0.4530649738728987,False
MMLU Chemistry,Reasoning,Chemistry,0.04153646675437017,6.308651226281813e-06,0.35180180451813065,False
MMLU Biology,Reasoning,Biology,0.04134902884494686,2.0406935068703166e-05,0.8554524340112482,False
